Weight,JP,KR,TH,PH,SG,AU,NZ,VN,IN,PK,CA,MX,FR,BE,IE,LU,MC,NL,US,GB,DE,AT,IL,KW,AE,TN,AO,PA,PR,MX,BR,RU,UA
0.5,$15.1,$16.5,$16.5,$16.5,$16.5,$20.1,$20.1,$19.4,$32.8,$26.2,$24.6,$25.2,$18.2,$18.2,$18.2,$18.2,$18.2,$18.2,$19.3,$18.2,$18.2,$18.2,$30.8,$26.2,$26.2,$28.6,$45.9,$27.8,$27.8,$27.8,$23.7,$30.8,$30.8
1,$17.0,$18.7,$19.5,$19.5,$19.5,$25.4,$25.4,$24.4,$39.4,$30.6,$27.0,$28.7,$20.2,$20.2,$20.2,$20.2,$20.2,$20.2,$21.3,$20.2,$20.2,$20.2,$36.2,$30.6,$30.6,$33.7,$56.9,$32.5,$34.2,$34.2,$27.8,$36.2,$36.2
1.5,$18.9,$21.5,$21.5,$21.5,$21.5,$30.6,$30.6,$29.4,$46.1,$35.0,$29.3,$32.1,$24.4,$24.4,$24.4,$24.4,$24.4,$24.4,$24.5,$24.4,$24.4,$24.4,$41.6,$35.0,$35.0,$38.9,$68.1,$37.2,$40.6,$40.6,$32.0,$41.6,$41.6
2,$22.4,$25.8,$25.8,$25.8,$25.8,$35.1,$35.1,$35.8,$54.2,$40.9,$33.2,$33.8,$26.7,$26.7,$26.7,$26.7,$26.7,$26.7,$26.6,$26.7,$26.7,$26.7,$48.5,$40.9,$40.9,$45.5,$80.7,$43.4,$48.5,$48.5,$37.7,$48.5,$48.5
2.5,$25.2,$29.3,$29.3,$29.3,$29.3,$38.8,$38.8,$41.6,$61.6,$46.2,$36.4,$36.9,$28.1,$28.1,$28.1,$28.1,$28.1,$28.1,$30.1,$28.1,$28.1,$28.1,$54.7,$46.2,$46.2,$51.4,$92.6,$48.9,$55.7,$55.7,$42.6,$54.7,$54.7
3,$27.1,$32.1,$32.1,$32.1,$32.1,$42.8,$42.8,$46.6,$68.3,$50.6,$38.7,$40.9,$31.0,$31.0,$31.0,$31.0,$31.0,$31.0,$32.0,$31.0,$31.0,$31.0,$60.1,$50.6,$50.6,$56.5,$103.5,$53.6,$62.1,$62.1,$46.7,$60.1,$60.1
3.5,$29.8,$35.6,$35.6,$35.6,$35.6,$47.5,$47.5,$52.3,$75.1,$55.7,$41.8,$45.5,$34.4,$34.4,$34.4,$34.4,$34.4,$34.4,$36.4,$34.4,$34.4,$34.4,$66.2,$55.7,$55.7,$62.4,$115.2,$59.0,$69.1,$69.1,$51.6,$66.2,$66.2
4,$32.5,$39.1,$39.1,$39.1,$39.1,$52.3,$52.3,$58.0,$81.9,$60.9,$45.0,$50.3,$37.8,$37.8,$37.8,$37.8,$37.8,$37.8,$39.4,$37.8,$37.8,$37.8,$72.4,$60.9,$60.9,$68.3,$126.9,$64.4,$76.1,$76.1,$56.6,$72.4,$72.4
4.5,$34.5,$41.9,$41.9,$41.9,$41.9,$56.3,$56.3,$63.0,$88.0,$65.3,$47.4,$54.2,$40.5,$40.5,$40.5,$40.5,$40.5,$40.5,$41.4,$40.5,$40.5,$40.5,$77.8,$65.3,$65.3,$73.4,$137.9,$69.1,$82.4,$82.4,$60.7,$77.8,$77.8
5,$36.4,$44.6,$44.6,$44.6,$44.6,$60.3,$60.3,$68.0,$94.1,$69.7,$49.9,$58.2,$43.1,$43.1,$43.1,$43.1,$43.1,$43.1,$43.5,$43.1,$43.1,$43.1,$83.2,$69.7,$69.7,$78.5,$148.9,$73.8,$88.6,$88.6,$64.9,$83.2,$83.2
