Weight,Country,Price
60,US,$3.90
100,US,$4.37
150,US,$4.96
200,US,$5.55
250,US,$6.14
300,US,$6.72
350,US,$7.31
400,US,$7.90
450,US,$8.49
500,US,$9.08
550,US,$9.66
600,US,$10.25
650,US,$10.84
700,US,$11.43
750,US,$12.02
800,US,$12.61
850,US,$13.19
900,US,$13.78
950,US,$14.37
1000,US,$14.96
60,RU,$5.27
100,RU,$5.89
150,RU,$6.66
200,RU,$7.43
250,RU,$8.20
300,RU,$8.97
350,RU,$9.74
400,RU,$10.51
450,RU,$11.28
500,RU,$12.05
550,RU,$12.82
600,RU,$13.59
650,RU,$14.36
700,RU,$15.13
750,RU,$15.90
800,RU,$16.67
850,RU,$17.44
900,RU,$18.21
950,RU,$18.98
1000,RU,$19.75
60,DE,$5.13
100,DE,$5.53
150,DE,$6.03
200,DE,$6.53
250,DE,$7.03
300,DE,$7.53
350,DE,$8.03
400,DE,$8.53
450,DE,$9.03
500,DE,$9.53
550,DE,$10.03
600,DE,$10.53
650,DE,$11.03
700,DE,$11.53
750,DE,$12.03
800,DE,$12.53
850,DE,$13.03
900,DE,$13.53
950,DE,$14.03
1000,DE,$14.53
60,NO,$5.13
100,NO,$5.53
150,NO,$6.03
200,NO,$6.53
250,NO,$7.03
300,NO,$7.53
350,NO,$8.03
400,NO,$8.53
450,NO,$9.03
500,NO,$9.53
550,NO,$10.03
600,NO,$10.53
650,NO,$11.03
700,NO,$11.53
750,NO,$12.03
800,NO,$12.53
850,NO,$13.03
900,NO,$13.53
950,NO,$14.03
1000,NO,$14.53
60,IL,$5.13
100,IL,$5.53
150,IL,$6.03
200,IL,$6.53
250,IL,$7.03
300,IL,$7.53
350,IL,$8.03
400,IL,$8.53
450,IL,$9.03
500,IL,$9.53
550,IL,$10.03
600,IL,$10.53
650,IL,$11.03
700,IL,$11.53
750,IL,$12.03
800,IL,$12.53
850,IL,$13.03
900,IL,$13.53
950,IL,$14.03
1000,IL,$14.53
60,NZ,$5.27
100,NZ,$5.76
150,NZ,$6.37
200,NZ,$6.99
250,NZ,$7.60
300,NZ,$8.22
350,NZ,$8.83
400,NZ,$9.45
450,NZ,$10.07
500,NZ,$10.68
550,NZ,$11.30
600,NZ,$11.91
650,NZ,$12.53
700,NZ,$13.14
750,NZ,$13.76
800,NZ,$14.37
850,NZ,$14.99
900,NZ,$15.60
950,NZ,$16.22
1000,NZ,$16.83
60,UA,$6.21
100,UA,$6.61
150,UA,$7.11
200,UA,$7.61
250,UA,$8.11
300,UA,$8.61
350,UA,$9.11
400,UA,$9.61
450,UA,$10.12
500,UA,$10.62
550,UA,$11.12
600,UA,$11.62
650,UA,$12.12
700,UA,$12.62
750,UA,$13.12
800,UA,$13.62
850,UA,$14.12
900,UA,$14.62
950,UA,$15.12
1000,UA,$15.62
60,GB,$6.21
100,GB,$6.61
150,GB,$7.11
200,GB,$7.61
250,GB,$8.11
300,GB,$8.61
350,GB,$9.11
400,GB,$9.61
450,GB,$10.12
500,GB,$10.62
550,GB,$11.12
600,GB,$11.62
650,GB,$12.12
700,GB,$12.62
750,GB,$13.12
800,GB,$13.62
850,GB,$14.12
900,GB,$14.62
950,GB,$15.12
1000,GB,$15.62
60,CA,$6.21
100,CA,$6.61
150,CA,$7.11
200,CA,$7.61
250,CA,$8.11
300,CA,$8.61
350,CA,$9.11
400,CA,$9.61
450,CA,$10.12
500,CA,$10.62
550,CA,$11.12
600,CA,$11.62
650,CA,$12.12
700,CA,$12.62
750,CA,$13.12
800,CA,$13.62
850,CA,$14.12
900,CA,$14.62
950,CA,$15.12
1000,CA,$15.62
60,FR,$6.21
100,FR,$6.61
150,FR,$7.11
200,FR,$7.61
250,FR,$8.11
300,FR,$8.61
350,FR,$9.11
400,FR,$9.61
450,FR,$10.12
500,FR,$10.62
550,FR,$11.12
600,FR,$11.62
650,FR,$12.12
700,FR,$12.62
750,FR,$13.12
800,FR,$13.62
850,FR,$14.12
900,FR,$14.62
950,FR,$15.12
1000,FR,$15.62
60,KR,$6.21
100,KR,$6.61
150,KR,$7.11
200,KR,$7.61
250,KR,$8.11
300,KR,$8.61
350,KR,$9.11
400,KR,$9.61
